age_group,diet_group,mean_ghgs,mean_land,mean_watscar
30-39,meat100,16.81581385,41.94504629,57933.80134
40-49,meat100,16.87690433,43.56778346,45967.70211
50-59,meat100,17.21800065,44.83317921,42585.32259
60-69,meat100,16.88176436,43.74202329,38657.88909
70-79,meat100,19.46768116,51.32016682,38033.26566
20-29,meat50,4.748852537,8.937732966,30948.97228
30-39,meat50,4.880946585,8.774635311,28307.49571
40-49,meat50,4.908822763,9.054165388,25720.86063
50-59,meat50,4.943396257,9.170302354,23559.89853
60-69,meat50,5.233914648,9.601801629,22168.74258
70-79,meat50,5.396404151,9.805182441,22433.85898
20-29,meat50,5.963529514,10.97579471,34576.58413
30-39,meat50,6.221110959,10.86190874,33890.36149
40-49,meat50,5.948173504,10.50376204,30181.71149
50-59,meat50,5.826754505,10.70145964,29611.91199
60-69,meat50,5.833889866,10.92816801,24968.10912
70-79,meat50,6.208711602,11.43475814,25618.32795
20-29,meat,7.010825803,14.86774588,37311.12543
30-39,meat,7.299291981,15.48576087,34056.54914
40-49,meat,7.680144977,16.99556474,31680.51223
50-59,meat,7.673604708,17.08595464,27767.05869
60-69,meat,7.805753922,16.96927858,26134.47941
70-79,meat,8.41725995,18.6155785,25414.13102
20-29,meat,8.711774404,17.50448628,42661.78885
30-39,meat,9.021979062,18.5011626,41816.46558
40-49,meat,9.150237139,20.33012985,36482.18729
50-59,meat,8.888865112,19.81218236,33630.54625
60-69,meat,9.187110554,20.53924425,30301.02926
70-79,meat,9.781328496,22.23466642,27537.89152
20-29,vegan,1.839763469,3.579555503,20991.97467
30-39,vegan,2.022997995,3.853277103,20560.37871
40-49,vegan,2.196976629,4.258733371,19267.73486
50-59,vegan,2.051994599,4.200658067,18507.44096
60-69,vegan,2.192458705,4.466333987,17733.71433
70-79,vegan,2.615682979,4.774710473,36231.99742
20-29,vegan,2.901545162,5.391543178,33466.88504
30-39,vegan,2.472758818,4.446225899,26019.22385
40-49,vegan,2.426200406,4.633148289,19508.15898
50-59,vegan,2.111747598,4.214722752,20351.45916
60-69,vegan,2.228595828,4.552619904,19586.27452
70-79,vegan,2.351488578,4.48475779,23349.68836
20-29,veggie,3.422930556,5.845359181,27024.26683
30-39,veggie,3.477671982,5.848391162,25757.65668
40-49,veggie,3.490344817,5.848368375,23403.48917
50-59,veggie,3.458183656,5.783892663,22050.54005
60-69,veggie,3.73093498,6.148467479,20604.4803
70-79,veggie,4.005542011,6.570770517,19639.96385
20-29,veggie,4.808608858,7.723271947,36186.65084
30-39,veggie,4.579631046,7.261369711,34102.20621
40-49,veggie,4.339504404,7.011227068,29777.39819
50-59,veggie,4.073609511,6.728526361,29844.47018
60-69,veggie,4.152812188,6.893994058,22825.54705
70-79,veggie,4.625827935,7.406471373,32254.94064
20-29,fish,4.288868602,5.720321738,15726.02263
30-39,fish,4.281979878,5.740844432,15893.03799
40-49,fish,4.213751036,5.760475616,15693.13961
50-59,fish,4.118957166,5.625599556,16087.59153
60-69,fish,4.446230888,6.224663685,17490.60445
70-79,fish,4.420451012,6.493704935,18621.64557
20-29,fish,6.461193761,8.317662385,20980.4917
30-39,fish,5.881732013,7.733056545,20023.05518
40-49,fish,5.438010476,7.252004549,18299.65557
50-59,fish,5.227465295,7.03424421,17923.01729
60-69,fish,5.150692765,7.380636302,19528.4573
70-79,fish,5.158946769,7.645775161,20984.20337
20-29,meat100,10.44364609,18.25583195,23261.51666
30-39,meat100,10.68199041,18.01488164,23400.41755
40-49,meat100,11.41521427,19.40263747,22675.04555
50-59,meat100,11.60013411,19.51869264,23138.94423
60-69,meat100,11.68625052,19.61646831,23641.27611
70-79,meat100,12.761678,21.82027031,25377.16003
20-29,meat100,16.1028661,29.41307552,31729.59105
30-39,meat100,13.84560977,24.1142208,27877.58283
40-49,meat100,13.78438889,23.76674546,25321.97513
50-59,meat100,13.74924519,23.45463357,25962.41521
60-69,meat100,13.27638539,22.5996247,26473.98747
70-79,meat100,14.6842841,25.3643934,27778.70387
20-29,meat50,4.551063775,6.70275612,14767.28811
30-39,meat50,4.609250654,6.668621671,15395.08408
40-49,meat50,4.602174322,6.713177708,15079.48524
50-59,meat50,4.576756083,6.634631898,15310.13074
60-69,meat50,4.802910872,7.099052569,16411.88918
70-79,meat50,4.875275445,7.206791207,17016.74312
20-29,meat50,6.069344996,8.901682941,17300.56679
30-39,meat50,6.098450841,8.703068352,19491.3602
40-49,meat50,5.904590905,8.45516646,17838.04852
50-59,meat50,5.587481441,8.27742093,17065.4169
60-69,meat50,5.394733189,8.110538915,17201.94925
70-79,meat50,5.67604104,8.758156171,18397.1743
20-29,meat,6.134515006,9.540732787,17603.3379
30-39,meat,6.307212541,9.709450132,17706.02667
40-49,meat,6.552738496,10.21790655,17447.02571
50-59,meat,6.464087764,9.940643176,17438.74531
60-69,meat,6.560851009,10.13360258,18690.20727
70-79,meat,7.012173527,11.27191021,19924.32
20-29,meat,8.199746544,12.32768482,22140.91747
30-39,meat,8.417236107,12.93714802,22157.72228
40-49,meat,8.429110932,13.26033909,20621.41833
50-59,meat,7.754906553,12.19661258,18982.70925
60-69,meat,7.871553365,12.3836642,20315.28126
70-79,meat,8.118546043,13.18238585,20519.68481
20-29,vegan,2.141609942,3.887191638,9094.729377
30-39,vegan,2.303875507,4.129496855,9357.03727
40-49,vegan,2.57692203,4.633309523,10714.40306
50-59,vegan,2.396188823,4.525628422,11255.33854
